date,tx,twoddct,normalized to DMSO,average DMSO
2022-03-10,DMSO 1,0.0026,78.58942065,0.003308333333
2022-03-10,DMSO 1,0.0029,87.65743073,
2022-03-10,DMSO 1,0.0029,87.65743073,
2022-03-10,DMSO 2,0.0035,105.7934509,
2022-03-10,DMSO 2,0.0037,111.8387909,
2022-03-10,DMSO 2,0.0037,111.8387909,
2022-03-10,DMSO 3,0.0033,99.74811083,
2022-03-10,DMSO 3,0.0034,102.7707809,
2022-03-10,DMSO 3,0.0037,111.8387909,
2022-03-10,DMSO 4,0.0031,93.70277078,
2022-03-10,DMSO 4,0.0034,102.7707809,
2022-03-10,DMSO 4,0.0035,105.7934509,
2022-03-10,EYH 1,0.0022,66.49874055,
2022-03-10,EYH 1,0.0024,72.5440806,
2022-03-10,EYH 1,0.0025,75.56675063,
2022-03-10,EYH 2,0.0031,93.70277078,
2022-03-10,EYH 2,0.0033,99.74811083,
2022-03-10,EYH 2,0.0036,108.8161209,
2022-03-10,EYH 3,0.0031,93.70277078,
2022-03-10,EYH 3,0.0032,96.72544081,
2022-03-10,EYH 3,0.0032,96.72544081,
2022-03-10,EYH 4,0.0027,81.61209068,
2022-03-10,EYH 4,0.0029,87.65743073,
2022-03-10,EYH 4,0.0034,102.7707809,
2022-03-10,LCZ 1,0.0023,69.52141058,
2022-03-10,LCZ 1,0.0024,72.5440806,
2022-03-10,LCZ 1,0.0024,72.5440806,
2022-03-10,LCZ 2,0.0026,78.58942065,
2022-03-10,LCZ 2,0.0028,84.63476071,
2022-03-10,LCZ 2,0.0029,87.65743073,
2022-03-10,LCZ 3,0.0026,78.58942065,
2022-03-10,LCZ 3,0.0029,87.65743073,
2022-03-10,LCZ 3,0.003,90.68010076,
2022-03-10,LCZ 4,0.0024,72.5440806,
2022-03-10,LCZ 4,0.0028,84.63476071,
2022-03-10,LCZ 4,0.0029,87.65743073,
2022-03-10,Y-320 1,0.0026,,
2022-03-10,Y-320 1,0.0028,,
2022-03-10,Y-320 1,0.003,,
2022-03-10,Y-320 2,0.0034,,
2022-03-10,Y-320 2,0.0036,,
2022-03-10,Y-320 2,0.0037,,
2022-03-10,Y-320 3,0.0032,,
2022-03-10,Y-320 3,0.0037,,
2022-03-10,Y-320 3,0.0039,,
2022-03-10,Y-320 4,0.0032,,
2022-03-10,Y-320 4,0.0038,,
2022-03-10,Y-320 4,0.0039,,
2022-03-11,DMSO 1,0.0024,94.73684211,0.002533333333
2022-03-11,DMSO 2,0.003,118.4210526,
2022-03-11,DMSO 3,0.0025,98.68421053,
2022-03-11,DMSO 4,0.0025,98.68421053,
2022-03-11,DMSO 1,0.0023,90.78947368,
2022-03-11,DMSO 2,0.0028,110.5263158,
2022-03-11,DMSO 3,0.0025,98.68421053,
2022-03-11,DMSO 4,0.0024,94.73684211,
2022-03-11,DMSO 1,0.0023,90.78947368,
2022-03-11,DMSO 2,0.0028,110.5263158,
2022-03-11,DMSO 3,0.0024,94.73684211,
2022-03-11,DMSO 4,0.0025,98.68421053,
2022-03-11,EYH 1,0.0019,75,
2022-03-11,EYH 2,0.0025,98.68421053,
2022-03-11,EYH 3,0.0022,86.84210526,
2022-03-11,EYH 4,0.0021,82.89473684,
2022-03-11,EYH 1,0.0019,75,
2022-03-11,EYH 2,0.0024,94.73684211,
2022-03-11,EYH 3,0.0023,90.78947368,
2022-03-11,EYH 4,0.0022,86.84210526,
2022-03-11,EYH 1,0.0018,71.05263158,
2022-03-11,EYH 2,0.0024,94.73684211,
2022-03-11,EYH 3,0.0022,86.84210526,
2022-03-11,EYH 4,0.0021,82.89473684,
2022-03-11,LCZ 1,0.0019,75,
2022-03-11,LCZ 2,0.002,78.94736842,
2022-03-11,LCZ 3,0.0021,82.89473684,
2022-03-11,LCZ 4,0.0019,75,
2022-03-11,LCZ 1,0.002,78.94736842,
2022-03-11,LCZ 2,0.002,78.94736842,
2022-03-11,LCZ 3,0.0021,82.89473684,
2022-03-11,LCZ 4,0.0019,75,
2022-03-11,LCZ 1,0.0018,71.05263158,
2022-03-11,LCZ 2,0.002,78.94736842,
2022-03-11,LCZ 3,0.0021,82.89473684,
2022-03-11,LCZ 4,0.0018,71.05263158,
2022-03-11,Y-320 1,0.0023,,
2022-03-11,Y-320 2,0.0025,,
2022-03-11,Y-320 3,0.0025,,
2022-03-11,Y-320 4,0.0025,,
2022-03-11,Y-320 1,0.0023,,
2022-03-11,Y-320 2,0.0026,,
2022-03-11,Y-320 3,0.0026,,
2022-03-11,Y-320 4,0.0027,,
2022-03-11,Y-320 1,0.0024,,
2022-03-11,Y-320 2,0.0026,,
2022-03-11,Y-320 3,0.0027,,
2022-03-11,Y-320 4,0.0026,,