date	tx	twoddct
2022-03-10	DMSO 1	0.0026
2022-03-10	DMSO 1	0.0029
2022-03-10	DMSO 1	0.0029
2022-03-10	DMSO 2	0.0035
2022-03-10	DMSO 2	0.0037
2022-03-10	DMSO 2	0.0037
2022-03-10	DMSO 3	0.0033
2022-03-10	DMSO 3	0.0034
2022-03-10	DMSO 3	0.0037
2022-03-10	DMSO 4	0.0031
2022-03-10	DMSO 4	0.0034
2022-03-10	DMSO 4	0.0035
2022-03-10	EYH 1	0.0022
2022-03-10	EYH 1	0.0024
2022-03-10	EYH 1	0.0025
2022-03-10	EYH 2	0.0031
2022-03-10	EYH 2	0.0033
2022-03-10	EYH 2	0.0036
2022-03-10	EYH 3	0.0031
2022-03-10	EYH 3	0.0032
2022-03-10	EYH 3	0.0032
2022-03-10	EYH 4	0.0027
2022-03-10	EYH 4	0.0029
2022-03-10	EYH 4	0.0034
2022-03-10	LCZ 1	0.0023
2022-03-10	LCZ 1	0.0024
2022-03-10	LCZ 1	0.0024
2022-03-10	LCZ 2	0.0026
2022-03-10	LCZ 2	0.0028
2022-03-10	LCZ 2	0.0029
2022-03-10	LCZ 3	0.0026
2022-03-10	LCZ 3	0.0029
2022-03-10	LCZ 3	0.0030
2022-03-10	LCZ 4	0.0024
2022-03-10	LCZ 4	0.0028
2022-03-10	LCZ 4	0.0029
2022-03-10	Y-320 1	0.0026
2022-03-10	Y-320 1	0.0028
2022-03-10	Y-320 1	0.0030
2022-03-10	Y-320 2	0.0034
2022-03-10	Y-320 2	0.0036
2022-03-10	Y-320 2	0.0037
2022-03-10	Y-320 3	0.0032
2022-03-10	Y-320 3	0.0037
2022-03-10	Y-320 3	0.0039
2022-03-10	Y-320 4	0.0032
2022-03-10	Y-320 4	0.0038
2022-03-10	Y-320 4	0.0039
2022-03-11	DMSO 1	0.0024
2022-03-11	DMSO 2	0.0030
2022-03-11	DMSO 3	0.0025
2022-03-11	DMSO 4	0.0025
2022-03-11	DMSO 1	0.0023
2022-03-11	DMSO 2	0.0028
2022-03-11	DMSO 3	0.0025
2022-03-11	DMSO 4	0.0024
2022-03-11	DMSO 1	0.0023
2022-03-11	DMSO 2	0.0028
2022-03-11	DMSO 3	0.0024
2022-03-11	DMSO 4	0.0025
2022-03-11	EYH 1	0.0019
2022-03-11	EYH 2	0.0025
2022-03-11	EYH 3	0.0022
2022-03-11	EYH 4	0.0021
2022-03-11	EYH 1	0.0019
2022-03-11	EYH 2	0.0024
2022-03-11	EYH 3	0.0023
2022-03-11	EYH 4	0.0022
2022-03-11	EYH 1	0.0018
2022-03-11	EYH 2	0.0024
2022-03-11	EYH 3	0.0022
2022-03-11	EYH 4	0.0021
2022-03-11	LCZ 1	0.0019
2022-03-11	LCZ 2	0.0020
2022-03-11	LCZ 3	0.0021
2022-03-11	LCZ 4	0.0019
2022-03-11	LCZ 1	0.0020
2022-03-11	LCZ 2	0.0020
2022-03-11	LCZ 3	0.0021
2022-03-11	LCZ 4	0.0019
2022-03-11	LCZ 1	0.0018
2022-03-11	LCZ 2	0.0020
2022-03-11	LCZ 3	0.0021
2022-03-11	LCZ 4	0.0018
2022-03-11	Y-320 1	0.0023
2022-03-11	Y-320 2	0.0025
2022-03-11	Y-320 3	0.0025
2022-03-11	Y-320 4	0.0025
2022-03-11	Y-320 1	0.0023
2022-03-11	Y-320 2	0.0026
2022-03-11	Y-320 3	0.0026
2022-03-11	Y-320 4	0.0027
2022-03-11	Y-320 1	0.0024
2022-03-11	Y-320 2	0.0026
2022-03-11	Y-320 3	0.0027
2022-03-11	Y-320 4	0.0026