inchi_key	n_annotations	target_genes	annotated_moas
AAKJLRGGTJKAMG-UHFFFAOYSA-N	2	EGFR	Inhibitors of Signal Transduction Pathways,EGFR (HER1 or erbB1) Inhibitors
ADPBTBPPIIKLEH-UHFFFAOYSA-N	2	SMPD2	HIV Integrase Inhibitors,Neutral Sphingomyelinase (N-SMase) Inhibitors
AFMXVBAHMGWYAZ-UHFFFAOYSA-N	2	KIT	KIT (C-KIT) Inhibitors,Inhibitors of Signal Transduction Pathways
AHJRHEGDXFFMBM-UHFFFAOYSA-N	4	CDK6,CDK4	CDK4 Inhibitors,CDK6 Inhibitors
AJCDZIDKYKCOMZ-AATRIKPKSA-N	1		
AKGUXECGGCUDCV-UXBLZVDNSA-N	1		
AKJULTWNHWSAFM-UHFFFAOYSA-N	1	RORC	RORC gamma t inhibitor
ALBKMJDFBZVHAK-UHFFFAOYSA-N	5	GABRA1,GABRA2,GABRA3,GABRB3,GABRG2	Anxiolytics
ALRYLNXZUBATMZ-UHFFFAOYSA-N	3	RXRG,RXRB,RXRA	Retinoid RXR Agonists
ANYJUPCHANVRRC-DRGJWEBESA-N	1	CETP	Cholesteryl Ester Transfer Protein (CETP) Inhibitors
APARDBNFWVLXJI-UHFFFAOYSA-N	2	BDKRB1	Non-Opioid Analgesics,BDKRB1 antagonist
AQGNHMOJWBZFQQ-UHFFFAOYSA-N	2	GSK3B,GSK3A	Glycogen Synthase Kinase 3 (GSK-3) Inhibitors
ATEBXHFBFRCZMA-VXTBVIBXSA-N	1	POLRMT	DNA-Directed RNA Polymerase Inhibitors
ATQMRMGXINTJHV-UHFFFAOYSA-N	1	HTR1B	HTR1B antagonist
AWIVHRPYFSSVOG-UHFFFAOYSA-N	2	PDE5A	Phosphodiesterase V (PDE5A) Inhibitors,Autophagy Agonist
AWUGZGWYVVYYIP-ZDUSSCGKSA-N	5	RNU1-4,SNRPC,RNU1-3,RNU1-2,RNU1-1	splicing modulator
AXLYOAXOIGRBKX-UHFFFAOYSA-N	1		
AXRCEOKUDYDWLF-UHFFFAOYSA-N	12	PRKCB,PRKCH,PRKCZ,RPS6KB1	Angiogenesis Inhibitors,Protein Kinase PKC beta Inhibitors,Inhibitors of Signal Transduction Pathways
BBTFKAOFCSOZMB-UHFFFAOYSA-N	4	PDE4A,PDE4B,PDE4C,PDE4D	PDE4 inhibitor for topical application
BDSYKGHYMJNPAB-LICBFIPMSA-N	1	NR3C1	Antiinflammatory Drugs
BERLXWPRSBJFHO-UHFFFAOYSA-N	2	TGFBR1	TbetaR-I) Inhibitors,Activin Receptor Like Kinase 5 (ALK5
BFTKDWYIRJGJCA-CYBMUJFWSA-N	2	CREBBP,EP300	dual CBP/EP300 inhibitor
BFTWJXMKBNDLCI-UHFFFAOYSA-N	1	DPP4	Autophagy agonist
BHCJHYIMNHXLOM-WVDRJWPYSA-N	4	TACR1,TACR2	Tachykinin NK2 Antagonists,Tachykinin NK1 Antagonists
BMZRVOVNUMQTIN-UHFFFAOYSA-N	1		
BPBPYQWMFCTCNG-UHFFFAOYSA-N	3	TXN,TXNRD2,TXNRD1	Thioredoxin 1 competitive irrreversible inhibitor
BPNUQXPIQBZCMR-IBGZPJMESA-N	9	PRKACA,PRKACB,PRKACG	PKB alpha/Akt1 Inhibitors,Inhibitors of Signal Transduction Pathways,cAMP-Dependent Protein Kinase (PKA) Inhibitors
BSQHKYLMKDAHEX-GOSISDBHSA-N	1	SMO	Smoothened Antagonist
BTIHMVBBUGXLCJ-OAHLLOKOSA-N	6	CDK5R1,CCNA1,CCNB2,CCNB3,CCNE2,CDK2	CDK inhibitors
BWZNJVZTAWBIFG-UHFFFAOYSA-N	1		
BXNJHAXVSOCGBA-UHFFFAOYSA-N	9	CDK5,CDK2,DYRK1A	CDK2 Inhibitors,Dual-Specificity Tyrosine-(Y)-Phosphorylation Regulated Kinase 1A (DYRK1A) Inhibitors,CDK5 Inhibitors
CDJNNOJINJAXPV-UHFFFAOYSA-N	2	HIF1A	HIF-1 inhibitor,HIF target gene expression suppressor
CDSXVXMUMRBIGJ-UHFFFAOYSA-N	1	CD38	CD38 inhibitor
CEDLXWRFEZCVEU-INIZCTEOSA-N	1	CLK2	CDC-like kinase-2 inhibitors
CEUMAXLRGBKFQP-UHFFFAOYSA-N	1		
CFMZSMGAMPBRBE-UHFFFAOYSA-N	3	GABRA1,RRM1,RRM2	Ribonucleoside-Diphosphate Reductase Inhibitors
CGYJGYNVEBFJEL-AWRGLXIESA-N	1	MMP9	MMP-9 (Gelatinase B) Inhibitors
CHILCFMQWMQVAL-UHFFFAOYSA-N	2	IKBKB	NF-kappaB (NFKB) Activation Inhibitors,IKK-2 (IKK-beta) Inhibitors
CKCSOMMBIPJYSG-UHFFFAOYSA-N	1		
CLGRAWDGLMENOD-UHFFFAOYSA-N	3	PRKCA,GSK3B,JAK3	Jak3 tyrosine kinase inhibitor
CMYCCJYVZIMDFU-UHFFFAOYSA-N	1	LSS	lanosterol synthetase inhibitor
CXHHBESKHSJGOL-UHFFFAOYSA-N	4	RET,PDGFRA,KDR,KIT	VEGFR-2 (FLK-1/KDR) Inhibitors
CXQRKICWSCAUGW-UHFFFAOYSA-N	2	CCNA1,CDK2	CDK inhibitor
CZCUSHJQJWKYTD-UHFFFAOYSA-N	1	DYRK1B	Dyrk1 inhibitor
DANYIYRPLHHOCZ-UHFFFAOYSA-N	2	XDH	Melanin Inhibitors,Xanthine Oxidase Inhibitors
DETOMBLLEOZTMZ-UHFFFAOYSA-N	1	MEN1	Menin inhibitor
DKORMNNYNRPTBJ-UHFFFAOYSA-N	1		
DKXHSOUZPMHNIZ-UHFFFAOYSA-N	2	CDC7	Cell Division Cycle 7-Related Protein Kinase (CDC7) Inhibitors,Inhibitors of Signal Transduction Pathways
DLMBMHOJKBPKLK-UHFFFAOYSA-N	3	CAMK1D,CAMK1G,CAMK1	camk1 gene inhibitor
DNBCCTCVENITSE-VAWYXSNFSA-N	2	HSPA1A	TNF-alpha Production Inhibitors,Heat Shock Protein 70 (hsp70) Inducers
DOUYETYNHWVLEO-UHFFFAOYSA-N	4	TLR7,NQO2	Interferon Inducers,TLR7 Receptor Agonists
DTZDSNQYNPNCPK-UHFFFAOYSA-N	1	GRM7	mgluR7 Agonists
DVQKEPFWUFUQBY-UHFFFAOYSA-N	2	TRPM4	Cytokine Production Inhibitors,TRPM4 Agonists
DVXSJBDRMIDVMC-UHFFFAOYSA-N	1	PRKCG	Protein Kinase C (PKC) Inhibitors
DWIYBCKFYUQVLU-UHFFFAOYSA-N	6	HDAC10,HDAC11,HDAC5,HDAC7,HDAC8,HDAC9	TNF-alpha Production Inhibitors
DYKFCLLONBREIL-KVUCHLLUSA-N	6	PADI6,PARP1	Protein Arginine Deiminase Inhibitors,30S Ribosomal Protein Inhibitors,Poly(ADP-ribose)polymerase-1 (PARP-1) Inhibitors
DZACSLYTXLZAAF-UHFFFAOYSA-N	1	MEN1	Menin inhibitor
FCCUUXVXNBHGAZ-YLJYHZDGSA-N	2	CSF1R	CSF1R (c-FMS) Inhibitors,Angiogenesis Inhibitors
FCHPZRJYEBHTOH-UHFFFAOYSA-N	1	USP7	TGFb pathway inhibitor
FEGRQUWSKADGSP-UHFFFAOYSA-N	9	PDGFRA,KDR,KIT	Angiogenesis Inhibitors,KIT (C-KIT) Inhibitors,PDGFRalpha Inhibitors
FFGNNGLKJOEDAC-UHFFFAOYSA-N	1	SSTR2	Somatostatin SRIF1A (sst2) Agonists
FKULIXGXFMDTPC-UHFFFAOYSA-N	1	HMOX1	Heme Oxygenase 1 (HO-1) Inhibitors
FOFHDVOENOAIGR-UHFFFAOYSA-N	1	SMG1	SMG1 gene inhibitor
FOIVPCKZDPCJJY-JQIJEIRASA-N	1	RARA	Retinoid RAR Agonists
FUGQNAUKABUDQI-UHFFFAOYSA-N	2	MEN1	Inhibitor of MEN1 (Menin),MEN1 inhibitor
FUPKFFJNRCYVCY-AREMUKBSSA-N	1	OGT	OGT (O-linked N-acetylglucosamine (GlcNAc) transferase) inhibitor
FVRLVWVKWXERPU-KRWDZBQOSA-N	1	FGFR4	FGFR4 gene inhibitor
FWFGIHPGRQZWIW-SQNIBIBYSA-N	1		
FYICDSWKKFSYOM-UHFFFAOYSA-N	1	ERBB3	ERBB3 covalent inhibitor
GAANRNOWRTWFGY-MXVIHJGJSA-N	1	PRKCQ	PKC theta inhibitor
GAEUGYYJXUTOSY-UHFFFAOYSA-N	12	IRAK1,SYK,ZAP70,PTK2,AURKA,BMX	ZAP70 Kinase Inhibitors,ALK Inhibitors
GCZHKZTYTMTFGU-JHOUSYSJSA-N	16	BACE1,CTSD,CTSE,BACE2	Cathepsin D Inhibitors,Cathepsin E Inhibitors,beta-Secretase 2 (BACE2) Inhibitors,beta-Secretase 1 (BACE1) Inhibitors
GDOVFSONSLOIAK-KRWDZBQOSA-N	2	PREP	POP) Inhibitors,Prolyl Endopeptidase (prolyl oligopeptidase
GEPYBHCJBORHCE-SFHVURJKSA-N	4	EP300,CREBBP	CREBBP / CBP / KAT3A,N-Ac Lysine competitive CREBBP inhibitor
GGPZCOONYBPZEW-UHFFFAOYSA-N	12	FLT1,KDR,KIT	Angiogenesis Inhibitors,KIT (C-KIT) Inhibitors,VEGFR-2 (FLK-1/KDR) Inhibitors,VEGFR-1 (Flt-1) Inhibitors
GKTWGGQPFAXNFI-UHFFFAOYSA-N	1	P2RY12	P2RY12 antagonist
GKWHICIUSVVNGX-MRXNPFEDSA-N	1	HTR1F	5-hydroxytryptamine receptor 1F receptor agonist
GMGMDWSPSKXMJH-OAQYLSRUSA-N	1	GCK	Glucokinase Activators
GMLKJSOWCKBKLX-UHFFFAOYSA-N	2	ROCK1,ROCK2	Rho Kinase Inhibitors
GNKXHXKTZQAERZ-UHFFFAOYSA-N	1	PTPN11	SHP2 inhibitor
GNMUEVRJHCWKTO-HXUWFJFHSA-N	1	BRD4	N-Ac Lysine competitive BET family inhibitor BRD4
GNRIZKKCNOBBMO-UHFFFAOYSA-N	6	SMPD1,FASN	Antioxidants,Acidic Sphingomyelinase (A-SMase) Inhibitors,Fatty Acid Synthase Inhibitors
GRHBODILPPXVKN-UHFFFAOYSA-N	9	SCN3A,SCN9A,SCN10A	Nav1.8 (SNS/PN3) Sodium Channel Blockers,Nav1.7 (PN1/hNE-Na) Sodium Channel Blockers,Nav1.3 (Brain Type III) Sodium Channel Blockers
GWHSPAGSUKYSEY-UHFFFAOYSA-N	4	RARA,RXRA	Retinoid RARalpha Agonists,Retinoid RXRalpha Agonists
GWKQRNXTGAHPBR-GINUTJKVSA-N	6	ESR2,ESR1	Selective Estrogen Receptor Destabilizers (SERD),Estrogen Receptor (ER) beta Ligands,Estrogen Receptor (ER) alpha Ligands
GXUZUPUMLJASRP-AWEZNQCLSA-N	1		
GXWKSXUPEFVUOO-UHFFFAOYSA-N	3	KDR	VEGFR-2 (FLK-1/KDR) Inhibitors,Inhibitors of Signal Transduction Pathways,Angiogenesis Inhibitors
GYNZGXINUJMHPX-UHFFFAOYSA-N	1	CDK4	CDK4 Inhibitors
GZUITABIAKMVPG-UHFFFAOYSA-N	3	ENG	Selective Estrogen Receptor Modulators (SERM),ACVRL1 Expression Enhancers,ENG Expression Enhancers
HAQIRIMIVLFYIX-ZFWWWQNUSA-N	1	TPP2	Tripeptidyl Peptidase II Inhibitors
HCAQGQIHBFVVIX-LYXAAFRTSA-N	2	CHEK2	Ribonuclease P Inhibitors,Checkpoint Kinase 2 (Chk2) Inhibitors
HCGFLVDMFDHYJD-UHFFFAOYSA-N	1		
HCIUDAYJRVRACO-UHFFFAOYSA-N	1		
HCSMRSHIIKPNAK-LSAVBLLPSA-N	12	BIRC2,XIAP	Inhibitor of Apoptosis Proteins (IAP) Inhibitors,Caspase 9 Activators,Caspase 8 Activators,Caspase 3 Activators,Apoptosis Inducers,Angiogenesis Inhibitors
HERUZAOANPGYSY-UHFFFAOYSA-N	2	ACHE	Norepinephrine Reuptake Inhibitors,Acetylcholinesterase Inhibitors
HHBOWXZOLYQFNY-UHFFFAOYSA-N	2	GCGR	GCGR antagonist,Glucagon Receptor (GCGR) Antagonists
HHOVRZGUSBMKKU-ZDUSSCGKSA-N	1	AKT1	PKA and AKT (a.k.a. PKB)
HJGMCDHQPXTGAV-IYARVYRRSA-N	2	EIF2B4	EIF2B4 modulator,Inhibits UPR, reactives translation
HKGJEZIGDHFJFL-UHFFFAOYSA-N	1	KPNB1	Importin beta inhibitor
HNHUNRACMOTTER-UHFFFAOYSA-N	2	EZH2	PRC2/EZH2,EZH2
HOSPRUSAKFDVHP-GOSISDBHSA-N	20	EGFR,ABL1,EPHA4,EPHB4,ERBB2	erbB1) Inhibitors,EGFR (HER1,Angiogenesis Inhibitors,VEGFR Inhibitors
HPTMTYKYKUKYCQ-UHFFFAOYSA-N	1	CCNA1	CDK1/2 inhibitor
HQHSJJZIICGOIX-UHFFFAOYSA-N	7	CCNA1,CCNB2,CCNB3,CDK2,ROCK2,DYRK1A,CDK9	CDK inhibitors
HRAQDVZJYIAWOV-UHFFFAOYSA-N	3	SCD	SCD1) Inhibitors,SCD,Stearoyl-CoA Desaturase (delta-9 Desaturase
HUJRVZPZMDVSSK-VJBMBRPKSA-N	4	ACACB,ACACA	Acetyl-CoA Carboxylase 2 (ACC2) Inhibitors,Acetyl-CoA Carboxylase 1 (ACC1) Inhibitors
HWSHOMMVLGBIDN-UHFFFAOYSA-N	8	WNK2,WNK3,WNK4,WNK1	WNK1/2/3/4 inhibitor,WNK1 gene inhibitor
HXWARSZQGAFXJM-MGPUTAFESA-N	1	PRKCQ	Protein kinase C theta inhibitor
IALXIRPKVRUJQO-UHFFFAOYSA-N	2	PDE2A,PDE4A	Phosphodiesterase IV Inhibitors
IBCXZJCWDGCXQT-UHFFFAOYSA-N	8	TGFBR1,MAPK13	p38 MAPK Inhibitors,TbetaR-I) Inhibitors,Activin Receptor Like Kinase 5 (ALK5,Inhibitors of Signal Transduction Pathways
ICQRGTUAJXYSRC-OAQYLSRUSA-N	1	WNK1	WNK1 kinase inhibitor
ICWBFSCBEZAOCT-UHFFFAOYSA-N	2	CA2,CA1	carbonic anhydrase inhibitor
IDINUJSAMVOPCM-UHFFFAOYSA-N	1		
IFDGQFUYOOYEGE-UHFFFAOYSA-N	1	LSS	LSS gene inhibitor
IGMSBHBHVCLQBH-UHFFFAOYSA-N	1	PRKD1	PKD inhibitor
IGRCFOGPIJEESA-UHFFFAOYSA-N	1	TNFSF11	RANKL inhibitor
ILOIOIGZFHGSMS-UHFFFAOYSA-N	2	FAAH,CES1	Fatty Acid Amide Hydrolase (FAAH) Inhibitors
IMOQEWXBWXGJOX-CQSZACIVSA-N	1	PRKCE	PKC epsilon inhibitor
INRRBCBUMMJGOS-UHFFFAOYSA-N	1	APP	beta-Amyloid (Abeta) Aggregation Inhibitors
IODOBBFRLZLCJR-UHFFFAOYSA-N	2	SC5D	Non-Steroidal Antiinflammatory Drugs,Cyclooxygenase-2 Inhibitors
IOYGAWXBNPFOKF-UHFFFAOYSA-N	1	KDR	VEGFR-2 (FLK-1/KDR) Inhibitors
IQIBKLWBVJPOQO-UHFFFAOYSA-N	1	RARB	Drugs Acting on Retinoid Receptors
ISTCAWFMNVHHRU-UHFFFAOYSA-N	1	MTNR1B	Melatonin MT2 Receptor Ligands
ITACCRHKSPSKKL-UHFFFAOYSA-N	1	C5AR1	C5a Antagonists
IVQVBMWPWPTSNO-UHFFFAOYSA-N	1	ERN1	IRE1 protein kinase inhibitor
IVRXNBXKWIJUQB-UHFFFAOYSA-N	3	TGFBR1	TbetaR-I) Inhibitors,Activin Receptor Like Kinase 5 (ALK5,Inhibitors of Signal Transduction Pathways
IXMQNMIYTMPPQN-UHFFFAOYSA-N	3	KDR	Angiogenesis Inhibitors,Inhibitors of Signal Transduction Pathways,VEGFR-2 (FLK-1/KDR) Inhibitors
IYIGLWQQAMROOF-HHHXNRCGSA-N	1	OGT	OGT (O-linked N-acetylglucosamine (GlcNAc) transferase) inhibitor
IZPNVUYQWBZYEA-UHFFFAOYSA-N	1		
IZVNOOHIAZYNQG-UHFFFAOYSA-N	1	CRHR1	CRF1 Antagonists
JABSKGQQWUDVRU-UHFFFAOYSA-O	4	HCN1,HCN3,HCN4,HCN2	HCN [I(h)] Blockers
JCBQCKFFSPGEDY-UHFFFAOYSA-N	4	CHRM1,HTR2A,SLC6A4,HRH1	Drugs Acting on 5-Hydroxytryptamine Receptors
JDEAFXJUIKOFAH-UHFFFAOYSA-N	1		
JFOAJUGFHDCBJJ-UHFFFAOYSA-N	1	TTK	Ttk protein kinase inhibitor
JFUAWXPBHXKZGA-IBGZPJMESA-N	2	NR3C1	Glucocorticoid Receptor (GR) Ligands,TNF-alpha Production Inhibitors
JGWRKYUXBBNENE-UHFFFAOYSA-N	1	CSF1R	CSF1R inhibitor
JIGIIKUAFNUTGA-UHFFFAOYSA-N	1	HTR1A	5-HT1A Receptor Agonists
JLJAVUZBHSLLJL-DQEHQXCCSA-N	1		
JMBODOHYRWZQEW-UHFFFAOYSA-N	1		
JPSGQGNOUABQDF-PRVBGKCFSA-N	4	ACACB,ACACA	Acetyl-CoA Carboxylase 2 (ACC2) Inhibitors,Acetyl-CoA Carboxylase 1 (ACC1) Inhibitors
JRSGZNKDLJKFKK-XMMPIXPASA-N	1		
JTVBXQAYBIJXRP-SNVBAGLBSA-N	2	ROCK1,ROCK2	Rho Kinase Inhibitors
JWQOJVOKBAAAAR-UHFFFAOYSA-N	1	SYK	Syk Kinase Inhibitors
KASDHRXLYQOAKZ-XDSKOBMDSA-N	12	PPP3R2,PPP3R1,PPP3CC,PPP3CB,PPP3CA,FKBP1A	Calcineurin inhibitor,Rotamase (FKBP12) Inhibitors
KDFQABSFVYLGPM-QFIPXVFZSA-N	1	CCKBR	CCK2 (CCKB/Gastrin) Antagonists
KDKUVYLMPJIGKA-UHFFFAOYSA-N	24	CCNA1,CDK2,CDK1,AURKA	Inhibitors of Signal Transduction Pathways,CDK2/Cyclin A Inhibitors,CDK1/Cyclin B Inhibitors,Aurora Kinase Inhibitors,Apoptosis Inducers,Antimitotic Drugs
KIAPWMKFHIKQOZ-UHFFFAOYSA-N	1	ARF1	Golgi ARF 1 (ADP-Ribosylation Factor) GTPase activator
KIEXMVITNVJBEJ-NBILRRPASA-N	2	EGFR,BLK	Blk tyrosine kinase inhibitor
KILIYQSGUAKAHL-UHFFFAOYSA-N	2	ACVR1B,TGFBR1	Activin receptor antagonist
KLGQSVMIPOVQAX-UHFFFAOYSA-N	4	TNKS2,TNKS	Tankyrase 2 (TNKS2) Inhibitors,Tankyrase 1 (TNKS1) Inhibitors
KLSCBNKMNKJFBO-UHFFFAOYSA-N	4	IL2,CD28	IL-2 Production Inhibitors,Protein Kinase C (PKC) Inhibitors
KLSRELDSEJWOAS-UHFFFAOYSA-N	1		
KSISWIVDFITFKQ-UHFFFAOYSA-N	1	NPC1	Niemann-Pick C1 inhibitor
KSWYJUIFHPSZOL-UHFFFAOYSA-N	5	SMO,PTCH1,DHH,IHH,SHH	Hedgehog Signaling Inhibitors
KTUCUQYEWVGDDQ-ANYOKISRSA-N	2	ECE1,ECE2	Endothelin-Converting Enzyme (ECE) Inhibitors
KTUFNOKKBVMGRW-UHFFFAOYSA-N	18	PDGFRB,ABL1,DDR1,PPARG,PDGFRA,KIT	Inhibitors of Signal Transduction Pathways,Bcr-Abl Kinase Inhibitors,Abl Kinase Inhibitors
KVLLHLWBPNCVNR-SKCUWOTOSA-N	6	GHSR,GH1	Growth Hormone Secretagogues,GHS Receptor Agonists,Growth hormone secretagogue receptor (ghrelin) agonist
LAYAEBGGDTWXAZ-RUZDIDTESA-N	1	GCK	Glucokinase Activators
LBFYQISQYCGDDW-UHFFFAOYSA-N	12	CDK8,CDK19	Wnt Pathway Inhibitor,Wnt signalling inhibitor,type I inhibitor of CDK8 and CDK19
LCMWDFXRHRLQPG-MXVIHJGJSA-N	3	TEK	Angiogenesis Inhibitors,Inhibitors of Signal Transduction Pathways,Tie2 Receptor Inhibitors
LDTAHRLHGHFHKP-UHFFFAOYSA-N	6	TBK1,IKBKE	TBK1 gene inhibitor,IKK-i) Inhibitors,IKBKE (IKK-epsilon
LMLDPXXCYIXDSG-MDZDMXLPSA-N	9	ALOX5,PTGS1,PTGS2	Non-Steroidal Antiinflammatory Drugs,Lipoxygenase Inhibitors,Cyclooxygenase (COX) Inhibitors
LNMRSSIMGCDUTP-UHFFFAOYSA-N	1	TEK	Tie-2   p38 MAPK dual inhibitor
LQPGVGSKBNXQDU-UHFFFAOYSA-N	3	KDM6A,KDM6B,UTY	KDM6 inhibitor
LRGVDHZAEYAHLG-UHFFFAOYSA-N	2	CFTR	Wnt agonist,CFTR Modulator
LUTPUCJIKBULCQ-UHFFFAOYSA-N	1	GPBAR1	Bile Acid Responsive TGR5 Receptors (GPBAR1, AXOR 109, GPCR19) Agonists
LWJOLPZGUNUJFV-UHFFFAOYSA-N	1	ITK	ITK (EMT) Kinase Inhibitors
LYAUICDWKQJAGX-UHFFFAOYSA-N	1		
MCBPHFHTGOTFPN-UHFFFAOYSA-N	12	ABL1,ABL2,KDR,BCR	Angiogenesis Inhibitors,Bcr-Abl Kinase Inhibitors,VEGFR-2 (FLK-1/KDR) Inhibitors
MCMSJVMUSBZUCN-YYDJUVGSSA-N	1		
MIBCJEHHQRRSRL-UHFFFAOYSA-N	3	PDGFRB,PDGFRA,KIT	PDGFR kinase inhibitor
MIJYXULNPSFWEK-GTOFXWBISA-N	25	PLA2G2A,AKR1B10,GPBAR1,PTPN1,PTPN2	Protein Tyrosine Phosphatase PTP-1B Inhibitors,G-Protein Coupled Bile Acid Receptor 1 Agonists,LDL Antioxidants,Secretory Phospholipase A2 (sPLA2) Inhibitors,Insulin Secretagogues
MLLQJNIKDWEEFT-UHFFFAOYSA-N	2	KDR	Protein Kinase Inhibitors,Inhibitors of Signal Transduction Pathways
MMPAULQSJLVKHP-UHFFFAOYSA-N	1	P2RX7	P2X7 Receptor Antagonists
MNENNUUKHSBOKZ-BEOVBFIISA-N	4	CTSD,BACE1	Cathepsin D Inhibitors,beta-Secretase 1 (BACE1) Inhibitors
MNJVRJDLRVPLFE-UHFFFAOYSA-N	2	PTGS2	Non-Steroidal Antiinflammatory Drugs,Cyclooxygenase-2 Inhibitors
MOOPBYUCHZCDPA-BUHFOSPRSA-N	1	PTGER3	Prostanoid EP3 Antagonists
MQSXZQXHIJMNAF-UHFFFAOYSA-N	1	GCGR	Glucagon Receptor (GCGR) Antagonists
MQZNUFXSYVZICW-UHFFFAOYSA-N	1	CRHR1	CRF1 Antagonists
MTKCOKFSICWGPP-UHFFFAOYSA-N	3	CCNA1,CDK2,CDK4	CDK inhibitor
MVWWLCCKVBTYTD-UHFFFAOYSA-N	2	CRBN	CRBN neomorph,E3 ligase inhibitor
